,v1,v2
0,ham,go  jrong point crzy vilble only in bgis n gret world l e bffet cine there got more wt
1,ham,ok lr joking wif  oni
3,ham, dn sy so erly hor  c lredy then sy
4,ham,nh i dont think he goes  sf he lives rond here thogh
6,ham,even my brother is not like  spek with me they tret me like ids ptent
7,ham,s per yor reqest melle melle or minnminnginte nrng vettm hs been set s yor cllertne for ll cllers press   copy yor friends cllertne
10,ham,im gonn be home soon nd i dont wnt  tlk bot this stff nymore night k ive cried enogh dy
13,ham,ive been serching for the right words  thnk yo for this brether i promise i wont tke yor help for grnted nd will flfil my promise yo hve been wonderfl nd  blessing t ll times
14,ham,i hve  dte on sndy with will
16,ham,oh kim wtching here
17,ham,eh  remember how  spell his nme yes i did he v nghty mke  i v wet
18,ham,fine if thts the wy  feel thts the wy its got b
20,ham,is tht seriosly how yo spell his nme
21,ham,im going  try for  months h h only joking
22,ham,so  py first lr then when is d sck comin
23,ham,ft i finish my lnch then i go str down lor rd  smth lor  finish r lnch lredy
24,ham,ffffffffff lright no wy i cn meet p with yo sooner
25,ham,jst forced myself  et  slice im relly not hngry tho this scks mrk is getting worried he knows im sick when i trn down pizz lol
26,ham,lol yor lwys so convincing
27,ham,did yo ctch the bs  re yo frying n egg  did yo mke  te re yo eting yor moms left over dinner  do yo feel my love 
28,ham,im bck mp were pcking the cr now ill let yo know if theres room
29,ham,hhh work i vgely remember tht wht does it feel like lol
30,ham,wit thts still not ll tht cler were yo not sre bot me being srcstic or tht thts why x doesnt wnt  live with s
31,ham,yeh he got in t  nd ws v pologetic n hd fllen ot nd she ws ctin like spoilt child nd he got cght p in tht till  bt we wont go there not doing o bdly cheers yo 
32,ham,k tell me nything bot yo
33,ham,for fer of finting with the of ll tht hosework yo jst did qick hve  cpp
35,ham,yp ok i go home look t the timings then i msg  gin xhi going  lern on nd my o bt her lesson is t m
36,ham,oops ill let yo know when my roommtes done
37,ham,i see the letter b on my cr
38,ham,nything lor  decide
39,ham,hello hows yo nd how did strdy go i ws jst texting  see if yod decided  do nything mo not tht im trying  invite myself or nything
40,ham,pls go hed with wtts i jst wnted  be sre do hve  gret weekend biol
41,ham,did i forget  tell yo  i wnt yo  i need yo i crve yo  bt most of ll  i love yo my sweet rbin steed  mmmmmm  ymmy
43,ham,who re yo seeing
44,ham,gret i hope yo like yor mn well endowed i m  ltgt  inches
45,ham,no cllsmessgesmissed clls
46,ham,didnt yo get hep b immnistion in nigeri
47,ham,fir enogh nything going on
48,ham,yeh hopeflly if tyler cnt do it i cold mybe sk rond  bit
49,ham, dont know how stbborn i m i didnt even wnt  go  the hospitl i kept telling mrk im not  wek scker hospitls re for wek sckers
50,ham,wht yo thinked bot me first time yo sw me in clss
51,ham, grm slly rns like  ltgt   hlf eighth is smrter thogh nd gets yo lmost  whole second grm for  ltgt
52,ham,k fyi x hs  ride erly morrow morning bt hes crshing t or plce night
53,ham,wow i never relized tht yo were so embrssed by yor ccomodtions i thoght yo liked it since i ws doing the best i cold nd yo lwys seemed so hppy bot the cve im sorry i didnt nd dont hve more  give im sorry i offered im sorry yor room ws so embrssing
55,ham,do yo know wht mllik sherwt did yesterdy find ot now   ltrlgt
57,ham,sorry ill cll lter in meeting
58,ham,tell where yo reched
59,ham,yesgti nd sehwg ot of odi series
60,ham,yor gonn hve  pick p   brger for yorself on yor wy home i cnt even move pin is killing me
61,ham,h h h good joke girls re sittion seekers
62,ham,its  prt of checking iq
63,ham,sorry my roommtes ok forever it ok if i come by now
64,ham,ok lr i doble check wif d hir dresser lredy he sid wn ct v short he sid will ct  i look nice
66,ham,dy is song dedicted dy which song will  dedicte for me send this  ll r vlble frnds bt first rply me
69,ham,i plne  give on this month end
70,ham,wh lcky mn then cn sve money hee
71,ham,finished clss where re yo
72,ham,hi bbe im t home now wnn do something xx
73,ham,kkwhere re yohow did yo performed
74,ham, cn cll me now
75,ham,i m witing mchn cll me once yo free
76,ham,thts cool i m  gentlemn nd will tret yo with dignity nd respect
77,ham,i like yo peoples very mch bt m very shy p
78,ham,does not operte fter  ltgt  or wht
79,ham,its not the sme here still looking for  job how mch do ts ern there
80,ham,sorry ill cll lter
81,ham,k did yo cll me jst now h 
82,ham,ok i m on the wy  home hi hi
83,ham,yo will be in the plce of tht mn
84,ham,yp next sp
85,ham,i cll yo lter dont hve network if rgnt sms me
86,ham,for rel when  getting on yo i only need  more tickets nd one more jcket nd im done i lredy sed ll my mltis
87,ham,yes i strted  send reqests  mke it bt pin cme bck so im bck in bed doble coins t the fcry o i gott csh in ll my nitros
88,ham,im relly not p  it still night bbe
89,ham,el knoil downlod come wen r free
90,ham,yeh do dont stnd  close tho yoll ctch something
91,ham,sorry  be  pin is it ok if we meet nother night i spent lte fternoon in cslty nd tht mens i hvent done ny of y stffmoro nd tht incldes ll my time sheets nd tht sorry 
92,ham,smile in plesre smile in pin smile when troble pors like rin smile when sm hrts  smile becoz someone still loves  see  smiling
94,ham,hvent plnning  by lter i check lredy lido only got  show in e fternoon  finish work lredy
96,ham,wtching telg moviewt bt 
97,ham,i see when we finish we hve lods of lons  py
98,ham,"hi wk been ok  on hols now yes on for  bit of  rn forgot tht i hve hirdressers ppointment t for so need  get home n shower beforehnd does tht cse prob for 
hm"
99,ham,plese dont text me nymore i hve nothing else  sy
100,ham,oky nme r price s long s its legl wen cn i pick them p y  ve x ms xx
101,ham,im still looking for  cr  by nd hve not gone the driving test yet
102,ham,s per yor reqest melle melle or minnminnginte nrng vettm hs been set s yor cllertne for ll cllers press   copy yor friends cllertne
103,ham,wow yore right i didnt men  do tht i gess once i gve p on bosn men nd chnged my serch loction  nyc something chnged cz on my signin pge it still sys bosn
104,ham,mm my life nd vv mm love yo lot der
105,ham,thnks  lot for yor wishes on my birthdy thnks yo for mking my birthdy trly memorble
106,ham,ight ill hit yo p when i get some csh
107,ham,how wold my ip ddress test tht considering my compter isnt  minecrft server
108,ham,i know grmpy old people my mom ws like yo better not be lying then gin i m lwys the one  ply jokes
109,ham,dont worry i gess hes bsy
110,ham,wht is the plrl of the non reserch
111,ham,going for dinnermsg yo fter
112,ham,im ok wif it cos i like  try new things bt i scred  dn like mh cos  sid not o lod
114,ham,w r openin sentence very forml nywy im fine o jz tt im etin o mch n pttin on weighthh so nythin specil hppened
115,ham,s i entered my cbin my p sid  hppy bdy boss  i felt specil she skd me  lnch fter lnch she invited me  her prtment we went there
117,ham,goodo yes we mst spek fridy  eggpot rtio for rtill needed 
118,ham,hmmmy ncle jst informed me tht hes pying the school directly so pls by food
121,ham,here is my new ddress pplespirsll tht mlrky
123,ham,i m going  so m dy will be done only t  
124,ham, predict wt time ll finish bying
125,ham,good stff will do
126,ham,jst so tht yo knowyetnde hsnt sent money yet i jst sent her  text not  bother sending so its over yo dont hve  involve yorself in nything i sholdnt hve imposed nything on yo in the first plce so for tht i pologise
127,ham,re yo there in room
128,ham,hey girl how r  hope  r well me n del r bk gin long time no c give me  cll sm time from lcyxx
129,ham,kkhow mch does it cost
130,ham,im home
