v1,v2
ham,go  jrong point crzy vilble only in bgis n gret world l e bffet cine there got more wt
ham,ok lr joking wif  oni
spam,free entry in   wkly comp  win f cp finl tkts st my  text f    receive entry qestionstd txt rtetcs pply overs
ham, dn sy so erly hor  c lredy then sy
ham,nh i dont think he goes  sf he lives rond here thogh
spam,freemsg hey there drling its been  weeks now nd no word bck id like some fn yo p for it still tb ok xxx std chgs  send   rcv
ham,even my brother is not like  spek with me they tret me like ids ptent
ham,s per yor reqest melle melle or minnminnginte nrng vettm hs been set s yor cllertne for ll cllers press   copy yor friends cllertne
spam,winner s  vled network csmer yo hve been selected  receive  prize rewrd  clim cll  clim code kl vlid  hors only
spam,hd yor mobile  months or more  r entitled  pdte  the ltest color mobiles with cmer for free cll the mobile pdte co free on 
ham,im gonn be home soon nd i dont wnt  tlk bot this stff nymore night k ive cried enogh dy
spam,six chnces  win csh from    ponds txt csh nd send   cost pdy dys  tsndcs pply reply hl  info
spam,rgent yo hve won   week free membership in or  prize jckpot txt the word clim  no  tc wwwdbknet lccltd pobox ldnwrw
ham,ive been serching for the right words  thnk yo for this brether i promise i wont tke yor help for grnted nd will flfil my promise yo hve been wonderfl nd  blessing t ll times
ham,i hve  dte on sndy with will
spam,xxxmobilemovieclb  se yor credit click the wp link in the next txt messge or click here httpwp xxxmobilemovieclbcomnqjkgighjjgcbl
ham,oh kim wtching here
ham,eh  remember how  spell his nme yes i did he v nghty mke  i v wet
ham,fine if thts the wy  feel thts the wy its got b
spam,englnd v mcedoni  dont miss the golstem news txt r ntionl tem   eg englnd   trywles scotlnd txt poboxoxwwq 
ham,is tht seriosly how yo spell his nme
ham,im going  try for  months h h only joking
ham,so  py first lr then when is d sck comin
ham,ft i finish my lnch then i go str down lor rd  smth lor  finish r lnch lredy
ham,ffffffffff lright no wy i cn meet p with yo sooner
ham,jst forced myself  et  slice im relly not hngry tho this scks mrk is getting worried he knows im sick when i trn down pizz lol
ham,lol yor lwys so convincing
ham,did yo ctch the bs  re yo frying n egg  did yo mke  te re yo eting yor moms left over dinner  do yo feel my love 
ham,im bck mp were pcking the cr now ill let yo know if theres room
ham,hhh work i vgely remember tht wht does it feel like lol
ham,wit thts still not ll tht cler were yo not sre bot me being srcstic or tht thts why x doesnt wnt  live with s
ham,yeh he got in t  nd ws v pologetic n hd fllen ot nd she ws ctin like spoilt child nd he got cght p in tht till  bt we wont go there not doing o bdly cheers yo 
ham,k tell me nything bot yo
ham,for fer of finting with the of ll tht hosework yo jst did qick hve  cpp
spam,thnks for yor sbscription  ringne k yor mobile will be chrged month plese confirm by replying yes or no if yo reply no yo will not be chrged
ham,yp ok i go home look t the timings then i msg  gin xhi going  lern on nd my o bt her lesson is t m
ham,oops ill let yo know when my roommtes done
ham,i see the letter b on my cr
ham,nything lor  decide
ham,hello hows yo nd how did strdy go i ws jst texting  see if yod decided  do nything mo not tht im trying  invite myself or nything
ham,pls go hed with wtts i jst wnted  be sre do hve  gret weekend biol
ham,did i forget  tell yo  i wnt yo  i need yo i crve yo  bt most of ll  i love yo my sweet rbin steed  mmmmmm  ymmy
spam,  rodger brns  msg  we tried  cll yo re yor reply  or sms for  free noki mobile  free cmcorder plese cll now  for delivery morrow
ham,who re yo seeing
ham,gret i hope yo like yor mn well endowed i m  ltgt  inches
ham,no cllsmessgesmissed clls
ham,didnt yo get hep b immnistion in nigeri
ham,fir enogh nything going on
ham,yeh hopeflly if tyler cnt do it i cold mybe sk rond  bit
ham, dont know how stbborn i m i didnt even wnt  go  the hospitl i kept telling mrk im not  wek scker hospitls re for wek sckers
